00003 [   App,INF]: Start
00003 [PGA280,INF]: Initialized
01073 [  Wave,INF]: 2011
01075 [  Wave,INF]: 2011
01077 [  Wave,INF]: 2013
01080 [  Wave,INF]: 2013
01082 [  Wave,INF]: 2014
01084 [  Wave,INF]: 2016
01087 [  Wave,INF]: 2017
01089 [  Wave,INF]: 2018
01091 [  Wave,INF]: 2018
01094 [  Wave,INF]: 2020
01096 [  Wave,INF]: 2019
01098 [  Wave,INF]: 2022
01101 [  Wave,INF]: 2022
01103 [  Wave,INF]: 2024
01105 [  Wave,INF]: 2024
01108 [  Wave,INF]: 2026
01110 [  Wave,INF]: 2027
01113 [  Wave,INF]: 2027
01115 [  Wave,INF]: 2030
01117 [  Wave,INF]: 2028
01120 [  Wave,INF]: 2031
01122 [  Wave,INF]: 2031
01124 [  Wave,INF]: 2033
01127 [  Wave,INF]: 2034
01129 [  Wave,INF]: 2034
01131 [  Wave,INF]: 2035
01134 [  Wave,INF]: 2035
01136 [  Wave,INF]: 2037
01138 [  Wave,INF]: 2038
01141 [  Wave,INF]: 2038
01143 [  Wave,INF]: 2040
01145 [  Wave,INF]: 2041
01148 [  Wave,INF]: 2041
01150 [  Wave,INF]: 2043
01153 [  Wave,INF]: 2043
01155 [  Wave,INF]: 2044
01157 [  Wave,INF]: 2046
01160 [  Wave,INF]: 2047
01162 [  Wave,INF]: 2047
01164 [  Wave,INF]: 2048
01167 [  Wave,INF]: 2049
01169 [  Wave,INF]: 2050
01171 [  Wave,INF]: 2051
01174 [  Wave,INF]: 2053
01176 [  Wave,INF]: 2054
01178 [  Wave,INF]: 2054
01181 [  Wave,INF]: 2055
01183 [  Wave,INF]: 2056
01185 [  Wave,INF]: 2056
01188 [  Wave,INF]: 2058
01190 [  Wave,INF]: 2059
01193 [  Wave,INF]: 2060
01195 [  Wave,INF]: 2061
01197 [  Wave,INF]: 2061
01200 [  Wave,INF]: 2062
01202 [  Wave,INF]: 2064
01204 [  Wave,INF]: 2063
01207 [  Wave,INF]: 2067
01209 [  Wave,INF]: 2067
01211 [  Wave,INF]: 2068
01214 [  Wave,INF]: 2068
01216 [  Wave,INF]: 2069
01218 [  Wave,INF]: 2071
01221 [  Wave,INF]: 2072
01223 [  Wave,INF]: 2072
01225 [  Wave,INF]: 2074
01228 [  Wave,INF]: 2075
01230 [  Wave,INF]: 2074
01232 [  Wave,INF]: 2076
01235 [  Wave,INF]: 2077
01237 [  Wave,INF]: 2078
01240 [  Wave,INF]: 2079
01242 [  Wave,INF]: 2080
01244 [  Wave,INF]: 2081
01247 [  Wave,INF]: 2081
01249 [  Wave,INF]: 2082
01251 [  Wave,INF]: 2083
01254 [  Wave,INF]: 2085
01256 [  Wave,INF]: 2085
01258 [  Wave,INF]: 2087
01261 [  Wave,INF]: 2087
01263 [  Wave,INF]: 2088
01265 [  Wave,INF]: 2089
01268 [  Wave,INF]: 2090
01270 [  Wave,INF]: 2090
01272 [  Wave,INF]: 2092
01275 [  Wave,INF]: 2093
01277 [  Wave,INF]: 2093
01280 [  Wave,INF]: 2095
01282 [  Wave,INF]: 2095
01284 [  Wave,INF]: 2096
